"row_id","order_date","ship_date","ship_mode","sales","quantity","discount","profit","returned"
"71","2018-09-18","2018-09-23","Standard Class","4.62","1","0.20","1.73",NULL
"73","2017-04-26","2017-05-02","Standard Class","831.94","8","0.20","-114.39",NULL
"74","2017-04-26","2017-05-02","Standard Class","97.04","2","0.20","1.21",NULL
"75","2017-04-26","2017-05-02","Standard Class","72.78","1","0.20","-18.20",NULL
"76","2019-12-09","2019-12-11","First Class","1.25","3","0.80","-1.93",NULL
"77","2019-12-09","2019-12-11","First Class","9.71","3","0.60","-5.82",NULL
"78","2019-12-09","2019-12-11","First Class","27.24","3","0.20","2.72",NULL
"79","2016-11-26","2016-12-01","Second Class","19.30","5","0.60","-14.48",NULL
"84","2017-09-03","2017-09-08","Standard Class","200.98","7","0.20","62.81",NULL
"85","2019-11-13","2019-11-16","First Class","230.38","3","0.20","-48.95",NULL
"89","2018-04-05","2018-04-10","Second Class","158.37","7","0.20","13.86",NULL
"91","2018-09-17","2018-09-22","Standard Class","73.58","2","0.20","8.28","1"
"96","2019-11-06","2019-11-12","Standard Class","5.68","1","0.70","-3.79",NULL
"98","2019-06-17","2019-06-20","First Class","51.31","3","0.20","17.96",NULL
"100","2018-08-29","2018-09-02","Standard Class","64.62","7","0.20","22.62",NULL
"101","2018-08-29","2018-09-02","Standard Class","95.98","3","0.20","-10.80",NULL
"102","2018-08-29","2018-09-02","Standard Class","1.79","3","0.80","-3.04",NULL
"104","2017-11-13","2017-11-17","Standard Class","238.90","6","0.20","-26.88",NULL
"105","2017-11-13","2017-11-17","Standard Class","102.36","3","0.20","-3.84",NULL
"106","2017-11-13","2017-11-17","Standard Class","36.88","3","0.70","-25.82",NULL
"107","2019-11-23","2019-11-28","Standard Class","74.11","8","0.20","17.60",NULL
"108","2019-11-23","2019-11-28","Standard Class","27.99","1","0.20","2.10",NULL
"109","2019-11-23","2019-11-28","Standard Class","3.30","1","0.20","1.07",NULL
"110","2017-10-15","2017-10-20","Standard Class","339.96","5","0.20","67.99",NULL
"114","2016-08-25","2016-08-27","Second Class","40.10","14","0.20","14.53",NULL
"115","2016-08-25","2016-08-27","Second Class","4.72","2","0.20","1.65",NULL
"116","2016-08-25","2016-08-27","Second Class","23.98","3","0.20","7.49",NULL
"117","2016-08-25","2016-08-27","Second Class","130.46","6","0.20","44.03",NULL
"119","2017-04-05","2017-04-10","Standard Class","157.79","1","0.70","-115.72",NULL
"125","2016-12-26","2016-12-28","Second Class","600.56","3","0.30","-8.58",NULL
"126","2016-09-20","2016-09-25","Standard Class","617.70","6","0.50","-407.68",NULL
"127","2019-11-05","2019-11-12","Standard Class","2.39","2","0.70","-1.83",NULL
"128","2019-11-05","2019-11-12","Standard Class","243.99","7","0.20","30.50",NULL
"129","2018-11-06","2018-11-10","Second Class","81.42","2","0.20","-9.16",NULL
"131","2019-02-02","2019-02-05","First Class","59.97","5","0.40","-11.99",NULL
"132","2019-02-02","2019-02-05","First Class","78.30","2","0.20","29.36",NULL
"133","2019-02-02","2019-02-05","First Class","21.46","9","0.20","6.97",NULL
"138","2018-10-13","2018-10-19","Standard Class","76.18","3","0.20","26.66","1"
"141","2018-09-05","2018-09-07","Second Class","82.80","2","0.20","10.35",NULL
"147","2016-10-22","2016-10-28","Standard Class","93.89","4","0.20","12.91",NULL
"152","2018-03-13","2018-03-16","First Class","157.92","5","0.20","17.77",NULL
"153","2018-03-13","2018-03-16","First Class","203.18","2","0.20","15.24",NULL
"158","2016-03-01","2016-03-06","Second Class","457.57","2","0.20","51.48",NULL
"162","2017-12-28","2017-12-31","Second Class","54.38","2","0.20","1.36",NULL
"164","2018-11-07","2018-11-11","Standard Class","27.68","2","0.20","9.69",NULL
"165","2016-09-08","2016-09-12","Standard Class","9.94","3","0.20","2.73",NULL
"166","2016-09-08","2016-09-12","Standard Class","8159.95","8","0.40","-1359.99",NULL
"167","2016-09-08","2016-09-12","Standard Class","275.93","3","0.20","-58.63",NULL
"168","2016-09-08","2016-09-12","Standard Class","1740.06","9","0.30","-24.86",NULL
"169","2016-09-08","2016-09-12","Standard Class","32.06","6","0.20","6.81",NULL
"170","2016-09-08","2016-09-12","Standard Class","177.98","5","0.80","-453.85",NULL
"171","2016-09-08","2016-09-12","Standard Class","143.98","3","0.20","9.00",NULL
"174","2016-08-05","2016-08-09","Standard Class","340.14","7","0.20","21.26",NULL
"175","2016-09-14","2016-09-19","Standard Class","52.45","2","0.80","-131.12",NULL
"176","2016-09-14","2016-09-19","Standard Class","20.16","4","0.20","6.55",NULL
"177","2019-04-21","2019-04-25","Second Class","97.26","4","0.80","-243.16",NULL
"178","2017-11-21","2017-11-23","Second Class","396.80","7","0.30","-11.34",NULL
"179","2017-11-21","2017-11-23","Second Class","15.88","5","0.20","-3.77",NULL
"181","2016-12-05","2016-12-09","Second Class","24.82","2","0.20","1.86",NULL
"182","2016-12-05","2016-12-09","Second Class","408.74","7","0.20","76.64",NULL
"188","2018-07-16","2018-07-22","Standard Class","37.22","3","0.20","3.72",NULL
"189","2018-07-16","2018-07-22","Standard Class","20.02","3","0.20","6.26",NULL
"190","2017-10-12","2017-10-14","First Class","899.14","4","0.20","112.39",NULL
"193","2017-10-12","2017-10-14","First Class","626.35","3","0.20","46.98",NULL
"196","2016-03-21","2016-03-25","Standard Class","7.41","2","0.20","1.20",NULL
"197","2016-03-21","2016-03-25","Standard Class","6.05","3","0.20","1.59",NULL
"199","2019-07-06","2019-07-13","Standard Class","2.95","2","0.70","-2.26",NULL
"200","2019-07-06","2019-07-13","Standard Class","16.06","3","0.20","5.82",NULL
"201","2019-06-24","2019-06-29","Standard Class","21.74","3","0.20","6.80",NULL
"202","2016-08-03","2016-08-05","First Class","218.75","2","0.50","-161.88","1"
"203","2016-08-03","2016-08-05","First Class","2.60","1","0.20","0.29","1"
"204","2019-12-17","2019-12-21","Second Class","66.28","2","0.80","-178.97",NULL
"205","2019-06-03","2019-06-07","Standard Class","35.17","7","0.20","9.67",NULL
"206","2019-12-09","2019-12-14","Standard Class","444.77","4","0.20","44.48",NULL
"212","2017-02-09","2017-02-13","Second Class","20.80","2","0.20","6.50",NULL
"213","2017-01-02","2017-01-09","Standard Class","23.68","2","0.20","8.88","1"
"214","2017-01-02","2017-01-09","Standard Class","452.45","5","0.50","-244.32","1"
"215","2017-01-02","2017-01-09","Standard Class","62.98","3","0.40","-14.70","1"
"216","2017-01-02","2017-01-09","Standard Class","1188.00","9","0.70","-950.40","1"
"217","2017-01-02","2017-01-09","Standard Class","89.58","2","0.20","4.48","1"
"219","2018-10-28","2018-11-01","Standard Class","302.38","3","0.20","22.68",NULL
"220","2017-12-24","2017-12-27","First Class","5.58","2","0.20","1.81","1"
"221","2017-12-24","2017-12-27","First Class","22.70","6","0.20","8.23","1"
"222","2017-12-24","2017-12-27","First Class","19.78","4","0.70","-13.84","1"
"223","2017-12-24","2017-12-27","First Class","72.70","4","0.20","19.08","1"
"224","2017-12-24","2017-12-27","First Class","479.99","4","0.70","-383.99","1"
"225","2017-12-24","2017-12-27","First Class","27.17","2","0.20","2.72","1"
"229","2017-02-28","2017-03-04","Standard Class","161.57","2","0.20","-28.27",NULL
"230","2017-02-28","2017-03-04","Standard Class","389.70","8","0.20","43.84",NULL
"231","2016-09-13","2016-09-17","Standard Class","18.65","7","0.70","-12.43",NULL
"232","2019-04-07","2019-04-12","Standard Class","233.86","2","0.40","-102.05",NULL
"233","2019-04-07","2019-04-12","Standard Class","620.61","3","0.40","-248.25",NULL
"234","2019-04-07","2019-04-12","Standard Class","5.33","2","0.70","-3.55",NULL
"235","2019-04-07","2019-04-12","Standard Class","258.07","3","0.20","0.00",NULL
"236","2019-04-07","2019-04-12","Standard Class","617.98","3","0.20","-7.72",NULL
"238","2018-06-04","2018-06-09","Second Class","25.92","5","0.20","9.40",NULL
"239","2018-06-04","2018-06-09","Second Class","419.68","5","0.60","-356.73",NULL
"240","2018-06-04","2018-06-09","Second Class","11.69","3","0.60","-4.68",NULL
"241","2018-06-04","2018-06-09","Second Class","31.98","2","0.20","11.19",NULL
"242","2018-06-04","2018-06-09","Second Class","177.23","5","0.50","-120.51",NULL
"243","2018-06-04","2018-06-09","Second Class","4.04","3","0.60","-2.83",NULL
"244","2018-06-04","2018-06-09","Second Class","7.41","2","0.20","1.20",NULL
"250","2018-12-10","2018-12-15","Second Class","321.57","2","0.20","28.14",NULL
"255","2017-11-28","2017-12-04","Standard Class","12.13","9","0.60","-8.49",NULL
"256","2017-11-28","2017-12-04","Standard Class","82.37","2","0.20","-19.56",NULL
"257","2017-11-28","2017-12-04","Standard Class","53.92","5","0.20","4.04",NULL
"258","2017-11-28","2017-12-04","Standard Class","647.90","6","0.20","56.69",NULL
"261","2019-12-01","2019-12-03","Second Class","17.52","5","0.20","6.13",NULL
"262","2019-06-08","2019-06-12","Standard Class","1.62","2","0.80","-4.47",NULL
"263","2016-09-19","2016-09-21","Second Class","3059.98","3","0.40","-510.00",NULL
"264","2016-09-19","2016-09-21","Second Class","2519.96","7","0.40","-252.00",NULL
"265","2018-06-06","2018-06-13","Standard Class","328.22","4","0.20","28.72",NULL
"267","2019-06-16","2019-06-20","Standard Class","14.02","3","0.20","4.73",NULL
"269","2019-12-09","2019-12-13","Standard Class","37.21","1","0.20","-7.44",NULL
"270","2019-12-09","2019-12-13","Standard Class","57.58","3","0.20","21.59",NULL
"274","2017-07-30","2017-07-31","First Class","10.92","3","0.20","4.10",NULL
"277","2019-10-13","2019-10-17","Standard Class","11.65","2","0.20","4.08",NULL
"278","2019-10-13","2019-10-17","Standard Class","18.18","4","0.20","5.91",NULL
"279","2019-10-13","2019-10-17","Standard Class","59.71","6","0.20","5.97",NULL
"280","2019-10-13","2019-10-17","Standard Class","24.84","3","0.20","8.69",NULL
"281","2017-09-26","2017-09-28","Second Class","2.08","5","0.80","-3.43",NULL
"282","2017-09-26","2017-09-28","Second Class","1114.40","7","0.20","376.11",NULL
"283","2017-11-02","2017-11-06","Standard Class","1038.84","5","0.20","51.94",NULL
"284","2017-09-26","2017-10-02","Standard Class","141.76","5","0.20","47.84",NULL
"285","2017-09-26","2017-10-02","Standard Class","239.80","5","0.20","47.96",NULL
"286","2017-09-26","2017-10-02","Standard Class","31.10","6","0.20","10.89",NULL
"287","2018-12-18","2018-12-20","Second Class","254.06","7","0.70","-169.37",NULL
"288","2018-12-18","2018-12-20","Second Class","194.53","2","0.20","24.32",NULL
"289","2018-12-18","2018-12-20","Second Class","961.48","5","0.20","-204.31",NULL
"290","2018-11-20","2018-11-24","Second Class","19.10","7","0.20","6.68",NULL
"291","2018-11-20","2018-11-24","Second Class","18.50","8","0.20","6.24",NULL
"292","2018-11-20","2018-11-24","Second Class","255.98","2","0.20","54.40",NULL
"293","2018-11-20","2018-11-24","Second Class","86.97","3","0.50","-48.70",NULL
"294","2016-12-26","2016-12-28","First Class","300.42","8","0.20","78.86",NULL
"295","2016-12-26","2016-12-28","First Class","230.35","3","0.20","20.16",NULL
"296","2016-12-26","2016-12-28","First Class","218.35","3","0.20","-24.56",NULL
"297","2016-12-26","2016-12-28","First Class","78.60","5","0.70","-62.88",NULL
"298","2016-12-26","2016-12-28","First Class","27.55","3","0.20","9.30",NULL
"304","2019-11-19","2019-11-23","Standard Class","219.08","3","0.50","-131.45",NULL
"310","2018-09-12","2018-09-14","Second Class","15.14","4","0.20","3.59",NULL
"311","2018-09-12","2018-09-14","Second Class","466.77","2","0.20","52.51",NULL
"312","2018-09-12","2018-09-14","Second Class","15.23","1","0.20","1.71",NULL
"313","2018-09-12","2018-09-14","Second Class","6.26","3","0.20","2.04",NULL
"315","2016-08-09","2016-08-16","Standard Class","178.38","2","0.20","22.30",NULL
"316","2016-08-09","2016-08-16","Standard Class","15.55","3","0.20","5.44",NULL
"317","2016-12-28","2016-12-30","First Class","99.14","4","0.20","8.67",NULL
"318","2016-11-04","2016-11-09","Standard Class","135.88","1","0.10","24.16",NULL
"324","2018-04-23","2018-04-27","Standard Class","251.52","6","0.20","81.74","1"
"326","2019-11-03","2019-11-05","Second Class","15.99","1","0.20","1.00",NULL
"327","2018-08-30","2018-09-01","First Class","290.90","3","0.40","-67.88",NULL
"328","2018-08-30","2018-09-01","First Class","54.22","2","0.20","3.39",NULL
"329","2018-08-30","2018-09-01","First Class","786.74","4","0.30","-258.50",NULL
"330","2018-08-30","2018-09-01","First Class","100.24","10","0.20","33.83",NULL
"331","2018-08-30","2018-09-01","First Class","37.76","6","0.70","-27.69",NULL
"332","2018-04-25","2018-04-29","Second Class","82.80","2","0.40","-20.70",NULL
"333","2018-04-25","2018-04-29","Second Class","20.72","2","0.70","-13.82",NULL
"334","2018-04-25","2018-04-29","Second Class","4.90","3","0.70","-3.43",NULL
"335","2017-09-01","2017-09-04","Second Class","4.75","1","0.20","1.60",NULL
"336","2017-09-01","2017-09-04","Second Class","959.98","2","0.20","335.99",NULL
"337","2017-09-01","2017-09-04","Second Class","14.37","4","0.20","4.49",NULL
"338","2016-07-12","2016-07-17","Standard Class","7.71","2","0.20","2.80",NULL
"339","2016-07-12","2016-07-17","Standard Class","698.35","3","0.20","-17.46",NULL
"341","2016-04-13","2016-04-17","Second Class","17.86","4","0.20","1.12",NULL
"342","2016-04-13","2016-04-17","Second Class","509.97","10","0.70","-407.98",NULL
"343","2016-04-13","2016-04-17","Second Class","30.99","13","0.20","10.07",NULL
"344","2016-04-13","2016-04-17","Second Class","71.93","12","0.40","8.39",NULL
"345","2017-12-20","2017-12-24","Standard Class","88.80","4","0.20","-2.22",NULL
"346","2019-06-15","2019-06-19","Standard Class","47.98","3","0.20","4.80",NULL
"352","2018-09-01","2018-09-03","First Class","3.05","1","0.20","1.07",NULL
"354","2018-09-01","2018-09-03","First Class","4355.17","4","0.20","1415.43",NULL
"355","2018-04-08","2018-04-13","Standard Class","388.70","6","0.20","-4.86",NULL
"359","2018-04-23","2018-04-28","Standard Class","36.24","5","0.20","11.33",NULL
"363","2019-09-25","2019-10-01","Standard Class","488.65","3","0.10","86.87",NULL
"371","2019-05-29","2019-06-04","Standard Class","25.92","5","0.20","9.40",NULL
"372","2019-05-29","2019-06-04","Standard Class","53.42","3","0.20","4.67",NULL
"373","2016-07-23","2016-07-27","Standard Class","8.16","5","0.70","-5.71",NULL
"374","2016-07-23","2016-07-27","Standard Class","1023.94","8","0.20","179.19",NULL
"375","2016-07-23","2016-07-27","Standard Class","9.24","1","0.20","0.92",NULL
"376","2016-07-23","2016-07-27","Standard Class","479.04","10","0.20","-29.94",NULL
"377","2018-09-28","2018-10-01","First Class","99.14","4","0.20","30.98",NULL
"378","2019-08-27","2019-09-01","Standard Class","1488.42","7","0.30","-297.68",NULL
"379","2017-04-28","2017-05-05","Standard Class","8.65","3","0.80","-20.33",NULL
"380","2017-04-28","2017-05-05","Standard Class","23.83","3","0.20","2.68",NULL
"381","2017-04-28","2017-05-05","Standard Class","12.18","4","0.80","-18.87",NULL
"383","2018-10-28","2018-10-29","First Class","49.54","3","0.20","17.34","1"
"385","2017-11-27","2017-12-02","Standard Class","375.46","3","0.40","-157.01",NULL
"386","2017-11-27","2017-12-02","Standard Class","83.98","3","0.20","-1.05",NULL
"387","2017-12-03","2017-12-07","Standard Class","482.34","4","0.70","-337.64",NULL
"388","2017-12-03","2017-12-07","Standard Class","2.96","1","0.20","0.78",NULL
"389","2016-11-24","2016-11-26","First Class","2.62","1","0.20","0.43",NULL
"390","2019-12-11","2019-12-15","Standard Class","23.36","4","0.20","7.88",NULL
"392","2016-09-21","2016-09-23","Second Class","246.38","2","0.20","27.72",NULL
"394","2016-06-07","2016-06-10","Second Class","12.46","3","0.80","-20.56",NULL
"395","2019-06-30","2019-07-05","Standard Class","75.79","3","0.20","25.58",NULL
"399","2018-09-08","2018-09-10","Second Class","35.95","3","0.20","3.60",NULL
"400","2018-09-08","2018-09-10","Second Class","2396.27","4","0.30","-317.15",NULL
"401","2018-09-08","2018-09-10","Second Class","131.14","4","0.20","-32.78",NULL
"402","2018-09-08","2018-09-10","Second Class","57.58","2","0.20","0.72",NULL
"403","2016-12-24","2016-12-26","First Class","9.57","2","0.20","3.47",NULL
"404","2016-04-16","2016-04-20","Standard Class","39.07","6","0.20","9.77",NULL
"407","2019-12-08","2019-12-12","Standard Class","1199.98","3","0.20","434.99",NULL
"409","2019-12-08","2019-12-12","Standard Class","1004.02","7","0.20","-112.95",NULL
"413","2019-12-08","2019-12-12","Standard Class","1336.83","13","0.20","31.45",NULL
"414","2019-12-08","2019-12-12","Standard Class","113.57","2","0.20","-18.45",NULL
"416","2019-11-03","2019-11-07","Standard Class","307.14","4","0.20","26.87",NULL
"418","2018-04-14","2018-04-18","Standard Class","383.80","5","0.20","38.38","1"
"422","2016-06-22","2016-06-25","First Class","196.75","6","0.20","56.57",NULL
"429","2019-10-01","2019-10-08","Standard Class","6.67","6","0.20","0.50",NULL
"430","2018-04-15","2018-04-21","Standard Class","189.59","2","0.70","-145.35",NULL
"431","2018-04-15","2018-04-21","Standard Class","408.74","7","0.20","76.64",NULL
"432","2018-04-15","2018-04-21","Standard Class","291.96","5","0.20","54.74",NULL
"433","2018-04-15","2018-04-21","Standard Class","4.77","2","0.20","-0.77",NULL
"435","2016-12-19","2016-12-25","Standard Class","4.81","2","0.70","-3.69","1"
"436","2016-12-19","2016-12-25","Standard Class","247.80","5","0.20","-18.59","1"
"437","2018-06-12","2018-06-14","Second Class","1007.98","3","0.30","43.20","1"
"438","2018-06-12","2018-06-14","Second Class","313.49","7","0.20","113.64","1"
"439","2019-09-15","2019-09-19","Standard Class","31.87","8","0.20","11.55",NULL
"440","2019-01-20","2019-01-23","Second Class","207.85","3","0.10","2.31",NULL
"454","2019-10-20","2019-10-24","Standard Class","284.36","2","0.40","-75.83",NULL
"455","2019-10-20","2019-10-24","Standard Class","665.41","2","0.20","66.54",NULL
"457","2016-02-12","2016-02-18","Standard Class","129.57","2","0.20","-24.29",NULL
"458","2018-09-26","2018-10-01","Standard Class","747.56","3","0.30","-96.11",NULL
"459","2018-09-26","2018-10-01","Standard Class","8.93","2","0.20","3.35",NULL
"462","2017-12-15","2017-12-22","Standard Class","51.31","3","0.20","18.60",NULL
"463","2018-04-22","2018-04-29","Standard Class","23.56","5","0.20","7.07","1"
"464","2018-04-22","2018-04-29","Standard Class","1272.63","6","0.50","-814.48","1"
"465","2018-04-22","2018-04-29","Standard Class","28.49","5","0.70","-20.89","1"
"466","2018-04-22","2018-04-29","Standard Class","185.38","2","0.20","-34.76","1"
"467","2018-04-22","2018-04-29","Standard Class","78.27","2","0.20","5.87","1"
"468","2017-01-17","2017-01-24","Standard Class","254.74","7","0.60","-312.06",NULL
"469","2019-03-31","2019-04-04","Standard Class","205.33","2","0.30","-36.24",NULL
"470","2018-12-16","2018-12-20","Second Class","4.79","3","0.80","-7.90",NULL
"473","2016-11-09","2016-11-11","Second Class","222.67","2","0.20","10.48",NULL
"474","2016-11-09","2016-11-11","Second Class","703.97","4","0.20","88.00",NULL
"478","2018-07-12","2018-07-19","Standard Class","95.76","6","0.20","7.18",NULL
"486","2019-06-10","2019-06-13","First Class","514.17","5","0.20","-30.25","1"
"487","2019-06-10","2019-06-13","First Class","279.96","5","0.20","17.50","1"
"488","2016-10-29","2016-10-31","First Class","2735.95","6","0.20","341.99",NULL
"489","2016-06-09","2016-06-13","Second Class","7.99","1","0.20","0.60",NULL
"490","2016-06-09","2016-06-13","Second Class","63.98","2","0.20","10.40",NULL
"491","2016-06-09","2016-06-13","Second Class","70.37","2","0.20","6.16",NULL
"495","2018-03-18","2018-03-21","Second Class","189.88","3","0.40","-94.94",NULL
"497","2018-07-25","2018-07-31","Standard Class","119.62","8","0.20","40.37",NULL
"499","2018-07-25","2018-07-31","Standard Class","241.57","2","0.20","18.12",NULL
"501","2018-05-30","2018-06-04","Standard Class","22.62","2","0.70","-15.08","1"
"502","2018-05-30","2018-06-04","Standard Class","14.95","2","0.70","-11.96","1"
"503","2018-05-30","2018-06-04","Standard Class","801.57","2","0.20","50.10","1"
"504","2018-05-30","2018-06-04","Standard Class","2.38","3","0.70","-1.90","1"
"505","2018-05-30","2018-06-04","Standard Class","32.79","1","0.20","11.89","1"
"506","2019-11-12","2019-11-15","Second Class","15.92","5","0.20","5.37",NULL
"513","2018-10-20","2018-10-23","First Class","7.15","3","0.20","0.72",NULL
"520","2017-03-22","2017-03-26","Standard Class","18.39","1","0.20","5.29","1"
"521","2017-03-22","2017-03-26","Standard Class","129.57","2","0.20","-25.91","1"
"522","2017-03-22","2017-03-26","Standard Class","14.11","9","0.80","-21.17","1"
"524","2018-05-21","2018-05-23","First Class","55.18","3","0.20","-12.41",NULL
"527","2019-10-21","2019-10-26","Standard Class","683.95","3","0.20","42.75",NULL
"528","2019-10-21","2019-10-26","Standard Class","45.70","3","0.20","5.14",NULL
"529","2017-09-03","2017-09-07","Standard Class","36.34","3","0.20","-7.27",NULL
"530","2017-09-03","2017-09-07","Standard Class","666.25","1","0.20","-149.91",NULL
"531","2017-09-03","2017-09-07","Standard Class","52.51","6","0.20","19.69",NULL
"532","2017-11-07","2017-11-09","Second Class","190.72","1","0.20","11.92",NULL
"536","2018-07-10","2018-07-16","Standard Class","16.77","2","0.20","1.47",NULL
"537","2019-09-03","2019-09-08","Second Class","42.62","7","0.80","-68.19",NULL
"538","2017-12-03","2017-12-08","Standard Class","10.75","4","0.20","3.36",NULL
"542","2018-07-14","2018-07-17","First Class","380.86","8","0.20","38.09","1"
"543","2017-12-18","2017-12-23","Standard Class","646.78","9","0.20","-145.52",NULL
"544","2016-05-11","2016-05-16","Standard Class","58.11","2","0.20","7.26",NULL
"545","2016-05-11","2016-05-16","Standard Class","100.79","1","0.20","6.30",NULL
"546","2016-05-11","2016-05-16","Standard Class","66.11","4","0.60","-84.29",NULL
"547","2019-11-19","2019-11-22","First Class","41.28","6","0.20","13.93",NULL
"549","2017-11-15","2017-11-17","Second Class","250.27","9","0.20","15.64",NULL
"550","2017-11-15","2017-11-17","Second Class","11.36","3","0.80","-17.05",NULL
"551","2017-11-15","2017-11-17","Second Class","8.72","5","0.20","-1.74",NULL
"552","2018-04-15","2018-04-17","Second Class","1121.57","2","0.20","0.00",NULL
"553","2019-09-11","2019-09-12","First Class","34.50","1","0.20","6.04",NULL
"554","2019-11-24","2019-11-28","Standard Class","10.82","3","0.20","2.57",NULL
"556","2016-03-03","2016-03-07","Second Class","19.46","4","0.20","3.40",NULL
"558","2018-06-10","2018-06-15","Standard Class","1335.68","4","0.20","-217.05",NULL
"561","2019-11-20","2019-11-22","Second Class","84.06","7","0.20","27.32",NULL
"562","2016-09-14","2016-09-18","Second Class","13.00","5","0.20","1.30",NULL
"563","2016-09-14","2016-09-18","Second Class","13.13","3","0.20","3.77",NULL
"566","2019-12-07","2019-12-10","First Class","374.38","3","0.20","46.80","1"
"568","2019-10-01","2019-10-08","Standard Class","81.09","7","0.20","27.37",NULL
"570","2019-10-01","2019-10-08","Standard Class","451.15","3","0.20","0.00",NULL
"573","2019-12-28","2020-01-04","Standard Class","33.26","7","0.20","11.23",NULL
"579","2019-07-20","2019-07-26","Standard Class","69.71","2","0.20","8.71",NULL
"580","2019-07-20","2019-07-26","Standard Class","8.79","1","0.60","-5.71",NULL
"582","2019-12-01","2019-12-05","Standard Class","470.38","3","0.20","52.92",NULL
"583","2019-12-01","2019-12-05","Standard Class","105.58","2","0.20","9.24",NULL
"584","2019-12-01","2019-12-05","Standard Class","31.15","3","0.20","3.50",NULL
"585","2019-12-01","2019-12-05","Standard Class","6.78","7","0.70","-4.75",NULL
"586","2019-12-01","2019-12-05","Standard Class","406.37","4","0.20","30.48",NULL
"589","2018-03-20","2018-03-24","Standard Class","84.78","2","0.20","-20.14","1"
"590","2018-03-20","2018-03-24","Standard Class","20.74","4","0.20","7.26","1"
"591","2018-03-20","2018-03-24","Standard Class","16.82","3","0.70","-12.90","1"
"592","2018-03-20","2018-03-24","Standard Class","10.37","2","0.20","3.63","1"
"593","2016-01-09","2016-01-13","Standard Class","9.34","2","0.20","1.17",NULL
"594","2016-01-09","2016-01-13","Standard Class","31.20","3","0.20","9.75",NULL
"596","2016-08-08","2016-08-15","Standard Class","1199.98","3","0.20","434.99",NULL
"597","2016-08-08","2016-08-15","Standard Class","445.96","5","0.20","55.75",NULL
"599","2018-07-14","2018-07-16","First Class","11.63","2","0.20","1.02",NULL
"600","2018-07-16","2018-07-21","Standard Class","143.98","3","0.40","-28.80",NULL
"601","2018-07-16","2018-07-21","Standard Class","494.38","4","0.40","-115.35",NULL
"602","2018-07-16","2018-07-21","Standard Class","5.84","2","0.20","0.73",NULL
"603","2016-03-15","2016-03-19","Standard Class","142.78","1","0.20","17.85",NULL
